Source,File,Attribute,Value,Total Occurrences,TargetAttribute,Numeric,Boolean,String,DateTime,Currency,Dimensions,Weight,Scale,Ratio,Frequency,Power,Temperature,Colors
www.planet-computer.it,106.json,dimensione visibile orizzontale,"53,136 cm",89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,107.json,dimensione visibile orizzontale,477.5 mm,89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,108.json,dimensione visibile orizzontale,432 mm,89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,11.json,dimensione visibile orizzontale,433 mm,89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,111.json,dimensione visibile orizzontale,518.4 mm,89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,112.json,dimensione visibile orizzontale,521.28 mm,89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,115.json,dimensione visibile orizzontale,518.4 mm,89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,116.json,dimensione visibile orizzontale,473.76 mm,89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,119.json,dimensione visibile orizzontale,"50,9 cm",89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,125.json,dimensione visibile orizzontale,433.9 mm,89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,127.json,dimensione visibile orizzontale,"47,664 cm",89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,130.json,dimensione visibile orizzontale,597.88 mm,89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,132.json,dimensione visibile orizzontale,"59,79 cm",89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,134.json,dimensione visibile orizzontale,"70,84 cm",89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,138.json,dimensione visibile orizzontale,531 mm,89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,140.json,dimensione visibile orizzontale,432 mm,89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,149.json,dimensione visibile orizzontale,509.76 mm,89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,150.json,dimensione visibile orizzontale,"62,09 cm",89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,151.json,dimensione visibile orizzontale,531.4 mm,89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,153.json,dimensione visibile orizzontale,"47,664 cm",89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,154.json,dimensione visibile orizzontale,409.8 mm,89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,156.json,dimensione visibile orizzontale,672.76 mm,89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,160.json,dimensione visibile orizzontale,597.6 mm,89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,161.json,dimensione visibile orizzontale,596.74 mm,89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,163.json,dimensione visibile orizzontale,473.76 mm,89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,168.json,dimensione visibile orizzontale,"52,128 cm",89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,180.json,dimensione visibile orizzontale,531.4 mm,89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,182.json,dimensione visibile orizzontale,"47,664 cm",89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,192.json,dimensione visibile orizzontale,597.89 mm,89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,2.json,dimensione visibile orizzontale,376 mm,89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,200.json,dimensione visibile orizzontale,408 mm,89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,201.json,dimensione visibile orizzontale,518.4 mm,89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,202.json,dimensione visibile orizzontale,518.4 mm,89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,203.json,dimensione visibile orizzontale,531.36 mm,89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,204.json,dimensione visibile orizzontale,"53,136 cm",89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,210.json,dimensione visibile orizzontale,"47,664 cm",89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,211.json,dimensione visibile orizzontale,"59,789 cm",89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,212.json,dimensione visibile orizzontale,476.6 mm,89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,217.json,dimensione visibile orizzontale,409.8 mm,89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,221.json,dimensione visibile orizzontale,531.4 mm,89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,223.json,dimensione visibile orizzontale,"53,136 cm",89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,224.json,dimensione visibile orizzontale,597.88 mm,89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,226.json,dimensione visibile orizzontale,521.28 mm,89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,228.json,dimensione visibile orizzontale,"50,918 cm",89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,23.json,dimensione visibile orizzontale,476.6 mm,89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,24.json,dimensione visibile orizzontale,433.9 mm,89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,242.json,dimensione visibile orizzontale,531.4 mm,89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,247.json,dimensione visibile orizzontale,476.6 mm,89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,248.json,dimensione visibile orizzontale,376 mm,89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,249.json,dimensione visibile orizzontale,"37,632 cm",89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,25.json,dimensione visibile orizzontale,"53,136 cm",89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,251.json,dimensione visibile orizzontale,408.24 mm,89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,253.json,dimensione visibile orizzontale,"47,664 cm",89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,255.json,dimensione visibile orizzontale,"33,79 cm",89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,260.json,dimensione visibile orizzontale,"59,76 cm",89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,262.json,dimensione visibile orizzontale,476.64 mm,89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,266.json,dimensione visibile orizzontale,531.36 mm,89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,268.json,dimensione visibile orizzontale,509.76 mm,89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
www.planet-computer.it,27.json,dimensione visibile orizzontale,531.36 mm,89,screen_size_horizontal,0,0,0,0,0,0,0,1,0,0,0,0,0
